objectid,title,image_alt_text,creator,date,description,subject,source,identifier,type,format,rights,rightsstatement,display_template,object_location,image_small,image_thumb,carousel
caves001,TuleLodge-River,,,,Historical photograph of two tule tipis and horses by a river (Courtesy of UO Special Collections PH036_4433).,,University of Oregon Special Collections,PH036_4433,Image,image/jpeg,,,image,/objects/TuleLodge-River.jpg,/objects/small/tulelodge-river_sm.jpg,/objects/thumbs/tulelodge-river_th.jpg,yes
caves002,IndianAgency,,Meghan Caves,,Artistic rendering of what the Utilla Indian Agency may have looked like (created by M. Caves).,,,,Image,image/jpeg,,,image,/objects/IndianAgency.jpg,/objects/small/indianagency_sm.jpg,/objects/thumbs/indianagency_th.jpg,yes
caves003,HallerMap,,G. O. Haller,,"Portion of map showing the locations of Indigenous groups in the Utilla Agency District  as drawn by Brevet Major G. O. Haller, United States Army (Courtesy of National Archives and Records Administration NAID: 232925687).",,National Archives and Records Administration,NAID 232925687,Image,image/jpeg,,,image,/objects/HallerMap.jpg,/objects/small/hallermap_sm.jpg,/objects/thumbs/hallermap_th.jpg,yes
caves004,FortHenrietta,,Meghan Caves,,Artistic rendering of what Fort Henrietta may have looked like (created by M. Caves).,,,,Image,image/jpeg,,,image,/objects/FortHenrietta.jpg,/objects/small/forthenrietta_sm.jpg,/objects/thumbs/forthenrietta_th.jpg,yes
caves005,EchoNews,,,1890,"Historical photograph of false front building of ""The Echo News"" with people standing in front on a boardwalk and leaning on a street sign circa 1890 (Courtesy of the Echo History Museum).",,Echo Historical Museum,,Image,image/jpeg,,,image,/objects/EchoNews.jpg,/objects/small/echonews_sm.jpg,/objects/thumbs/echonews_th.jpg,yes
caves006,EchoCityPlat,,,1914,"City plat of Echo as published in the 1914 Standard Atlas of Umatilla County, Oregon, published in by George A. Ogle & Co. (Courtesy of the Umatilla County Survey Department).",,Umatilla County Survey Department,,Image,image/jpeg,,,image,/objects/EchoCityPlat.jpg,/objects/small/echocityplat_sm.jpg,/objects/thumbs/echocityplat_th.jpg,yes
caves007,KoontzBuilding,,,,Historical photograph of the Koontz Building with a horsedrawn wagon in front of it on Echo's Main Street some time after it was built in 1905 (Courtesy of the City of Echo).,,City of Echo,,Image,image/jpeg,,,image,/objects/KoontzBuilding.jpg,/objects/small/koontzbuilding_sm.jpg,/objects/thumbs/koontzbuilding_th.jpg,yes
caves008,Tules,,Meghan Caves,2024,"Modern color photograph of green tule reeds near Echo, Oregon (taken by M. Caves 2024).",,,,Image,image/jpeg,,,image,/objects/Tules.jpg,/objects/small/tules_sm.jpg,/objects/thumbs/tules_th.jpg,yes
caves009,EchoFlood,,,2020,"Aerial photograph of flooding immediately southwest of Echo, Oregon near the archaeological site (courtesy of the City of Echo).",,City of Echo,,Image,image/jpeg,,,image,/objects/EchoFlood.jpg,/objects/small/echoflood_sm.jpg,/objects/thumbs/echoflood_th.jpg,
caves010,FloodErosion,,,2020,Erosion next to the archaeological site caused by flooding in 2020 (photograph courtesy of the City of Echo).,,City of Echo,,Image,image/jpeg,,,image,/objects/FloodErosion.jpg,/objects/small/flooderosion_sm.jpg,/objects/thumbs/flooderosion_th.jpg,
caves011,FloodRestoration,,,,Photograph of ongoing floodplain restoration work near the archaeological site (courtesy of Anderson Perry & Associates).,,Anderson Perry & Associates,,Image,image/jpeg,,,image,/objects/FloodRestoration.jpg,/objects/small/floodrestoration_sm.jpg,/objects/thumbs/floodrestoration_th.jpg,
caves012,MC-Site,,Kat Eichner,,Meghan Caves standing next to an interpretive sign at the archaeological site (photo by Kat Eichner).,,,,Image,image/jpeg,,,image,/objects/MC-Site.jpg,/objects/small/mc-site_sm.jpg,/objects/thumbs/mc-site_th.jpg,
